name,category,merchant_name
Unknown Charge 523 Timothymou,Miscellaneous,Unknown
National Grid 824 Aaronville,Utilities,National
PlayStation Store 347 Jennatown,Entertainment,Playstation
CVS Pharmacy 463 Mccartyton,Health,Cvs
Walmart 531 West Jenni,Shopping,Walmart
Comcast 763 New Jasmin,Utilities,Comcast
Unknown Charge 292 Garrisonch,Miscellaneous,Unknown
BP 448 Aguilarshi,Transportation,Bp
Hulu 875 Robertland,Entertainment,Hulu
TripAdvisor 420 Port Jasmi,Travel,Tripadvisor
Spotify 608 Obrienches,Entertainment,Spotify
Dental Office 235 Salazarlan,Health,Dental
Donation 206 New Brenda,Miscellaneous,Donation
Marriott 328 South Alys,Travel,Marriott
CVS Pharmacy 798 North Raym,Health,Cvs
IKEA 171 Kelseyburg,Shopping,Ikea
Expedia 431 Lake Sarah,Travel,Expedia
Xfinity 745 Raymondche,Utilities,Xfinity
Xbox Live 803 Parkerberg,Entertainment,Xbox
Disney+ 332 Fisherboro,Entertainment,Disney+
Twitch 149 Donnabury,Entertainment,Twitch
CVS Pharmacy 948 Lake Jason,Health,Cvs
Urgent Care 597 South Judi,Health,Urgent
Delta Airlines 848 New Kathry,Travel,Delta
Reversal 383 West Heath,Miscellaneous,Reversal
PlayStation Store 522 Danielston,Entertainment,Playstation
Chevron 563 West Norma,Transportation,Chevron
KFC 565 Sethland,Food & Drink,Kfc
Macy's 501 Lake Kimbe,Shopping,Macy's
Interest Credit 340 New Patric,Miscellaneous,Interest
Marriott 528 South Heat,Travel,Marriott
Shell Gas 525 East Rickv,Transportation,Shell
Starbucks 303 North Step,Food & Drink,Starbucks
Health Clinic 415 Kellyside,Health,Health
Uber Airport 330 East Manue,Travel,Uber
Costco 538 South Kath,Shopping,Costco
IKEA 306 West Megan,Shopping,Ikea
Interest Credit 389 West Jonat,Miscellaneous,Interest
Walmart 778 Port Steph,Shopping,Walmart
CashApp 298 Ingramberg,Miscellaneous,Cashapp
Urgent Care 403 Coxside,Health,Urgent
Panda Express 220 Bryanside,Food & Drink,Panda
Xbox Live 547 South Emil,Entertainment,Xbox
Donation 926 Pamelaches,Miscellaneous,Donation
AT&T 104 South Beth,Utilities,At&t
CVS Pharmacy 937 Ricebury,Health,Cvs
Best Buy 482 Lake James,Shopping,Best
Health Clinic 576 East Micha,Health,Health
PlayStation Store 394 Saraberg,Entertainment,Playstation
Airbnb 883 West Eliza,Travel,Airbnb
Disney+ 334 Sarahberg,Entertainment,Disney+
AT&T 169 Stevenshir,Utilities,At&t
CashApp 168 Karenburgh,Miscellaneous,Cashapp
Electric Co. 271 Melanieber,Utilities,Electric
Amazon 430 Travisburg,Shopping,Amazon
PlayStation Store 663 South Sydn,Entertainment,Playstation
Bank Fee 492 Christense,Miscellaneous,Bank
KFC 963 Port Scott,Food & Drink,Kfc
TripAdvisor 622 New Laura,Travel,Tripadvisor
Vision Center 421 Juliashire,Health,Vision
McDonald's 109 Gentryches,Food & Drink,Mcdonald's
CVS Pharmacy 185 West Krist,Health,Cvs
BP 870 Mercadoton,Transportation,Bp
Disney+ 597 East Lorra,Entertainment,Disney+
Lyft 530 Port Pamel,Transportation,Lyft
BP 622 South Eric,Transportation,Bp
McDonald's 809 Robertton,Food & Drink,Mcdonald's
Check Deposit 299 Robertshav,Miscellaneous,Check
Donation 930 East Rober,Miscellaneous,Donation
Interest Credit 812 Reedhaven,Miscellaneous,Interest
Walmart 908 Huntmouth,Shopping,Walmart
Uber 931 North Aman,Transportation,Uber
Netflix 416 Floresmout,Entertainment,Netflix
Dunkin 602 New Ambert,Food & Drink,Dunkin
Xfinity 627 Port Micha,Utilities,Xfinity
Uber Airport 420 Jessicahav,Travel,Uber
Expedia 873 Lake Taylo,Travel,Expedia
Domino's 474 West Ianbu,Food & Drink,Domino's
Etsy 190 North Chri,Shopping,Etsy
AMC Theatres 960 Gutierrezm,Entertainment,Amc
Reversal 493 West Veron,Miscellaneous,Reversal
Vision Center 445 Port Dougl,Health,Vision
McDonald's 171 New Denise,Food & Drink,Mcdonald's
Xbox Live 433 East Nicho,Entertainment,Xbox
Health Clinic 143 East Ashle,Health,Health
GNC 960 Johnsonsta,Health,Gnc
Donation 751 Andrewfurt,Miscellaneous,Donation
CVS Pharmacy 429 West Steph,Health,Cvs
Reversal 868 Williamsto,Miscellaneous,Reversal
National Grid 538 East Mallo,Utilities,National
Airbnb 201 Port Miche,Travel,Airbnb
Airbnb 198 Kingshire,Travel,Airbnb
Unknown Charge 775 Franklinsi,Miscellaneous,Unknown
PG&E 777 North Meli,Utilities,Pg&e
PlayStation Store 169 West Annel,Entertainment,Playstation
Netflix 732 South Step,Entertainment,Netflix
AMC Theatres 950 Brendatown,Entertainment,Amc
Vision Center 383 Moniquefur,Health,Vision
AMC Theatres 101 Johnsonvie,Entertainment,Amc
Spotify 390 Flemingfur,Entertainment,Spotify
Disney+ 785 Josephburg,Entertainment,Disney+
United Airlines 722 Hahntown,Travel,United
Check Deposit 310 Lake Sarac,Miscellaneous,Check
Twitch 770 Lyonsland,Entertainment,Twitch
ExxonMobil 196 New Sarah,Transportation,Exxonmobil
Starbucks 689 West Micha,Food & Drink,Starbucks
Etsy 186 Washington,Shopping,Etsy
Macy's 205 West Eric,Shopping,Macy's
Panda Express 432 New Angela,Food & Drink,Panda
Dunkin 713 North Migu,Food & Drink,Dunkin
Walmart 933 North John,Shopping,Walmart
Lyft 772 Millerfort,Transportation,Lyft
Amtrak 350 Lake Ricky,Transportation,Amtrak
Disney+ 312 New Daniel,Entertainment,Disney+
Electric Co. 379 West Yolan,Utilities,Electric
T-Mobile 806 North Adam,Utilities,T-mobile
Health Clinic 248 New John,Health,Health
Hulu 655 Simmonsfor,Entertainment,Hulu
Lyft 460 Cooperfort,Transportation,Lyft
GNC 549 Lake Lauri,Health,Gnc
Macy's 723 Perezview,Shopping,Macy's
Starbucks 373 New Robert,Food & Drink,Starbucks
TripAdvisor 554 Anthonymou,Travel,Tripadvisor
Verizon 825 Elizabethb,Utilities,Verizon
Bank Fee 609 Lake Jason,Miscellaneous,Bank
Health Clinic 718 Lake Jon,Health,Health
GNC 990 Patriciabe,Health,Gnc
Spotify 481 North Will,Entertainment,Spotify
AT&T 208 Adamsfort,Utilities,At&t
Urgent Care 866 New Christ,Health,Urgent
Lyft 869 East Krist,Transportation,Lyft
Dunkin 594 Foxville,Food & Drink,Dunkin
Etsy 818 South Jenn,Shopping,Etsy
Expedia 379 North Aaro,Travel,Expedia
CVS Pharmacy 254 South Lori,Health,Cvs
Vision Center 719 Knoxland,Health,Vision
Dental Office 112 West Grace,Health,Dental
Xfinity 247 Port Juan,Utilities,Xfinity
Shell Gas 161 South Rhon,Transportation,Shell
United Airlines 133 South Maur,Travel,United
Reversal 537 Zacharymou,Miscellaneous,Reversal
Uber Airport 984 West Jose,Travel,Uber
Comcast 281 Port Terre,Utilities,Comcast
National Grid 471 New Davidm,Utilities,National
McDonald's 909 Maxwellfor,Food & Drink,Mcdonald's
Walmart 511 South Kimb,Shopping,Walmart
Xbox Live 264 East Steve,Entertainment,Xbox
Bank Fee 978 Lisatown,Miscellaneous,Bank
Uber 357 East Evan,Transportation,Uber
Pizza Hut 285 Andersonsh,Food & Drink,Pizza
CashApp 243 Donnaview,Miscellaneous,Cashapp
Walmart 169 Lake Hanna,Shopping,Walmart
Chevron 501 North John,Transportation,Chevron
Best Buy 635 Marshberg,Shopping,Best
Xbox Live 910 Charlesbur,Entertainment,Xbox
McDonald's 945 East John,Food & Drink,Mcdonald's
Electric Co. 877 South Chri,Utilities,Electric
MetroCard NYC 639 South Tyro,Transportation,Metrocard
Chipotle 646 Michaelhav,Food & Drink,Chipotle
KFC 881 West Cathe,Food & Drink,Kfc
Reversal 822 Destinysta,Miscellaneous,Reversal
ExxonMobil 710 Jonathanst,Transportation,Exxonmobil
Chipotle 827 New Karent,Food & Drink,Chipotle
CVS Pharmacy 433 West Donal,Health,Cvs
Marriott 160 Stevenberg,Travel,Marriott
Macy's 553 Walkerbury,Shopping,Macy's
PlayStation Store 805 Reynoldsvi,Entertainment,Playstation
Walgreens 902 Lake Timot,Health,Walgreens
Bank Fee 579 North Rich,Miscellaneous,Bank
Dunkin 145 Timothyvie,Food & Drink,Dunkin
ACH Transfer 331 Melaniefor,Miscellaneous,Ach
TripAdvisor 460 Trujillofo,Travel,Tripadvisor
Check Deposit 111 Christinem,Miscellaneous,Check
Dental Office 520 West Diane,Health,Dental
Walmart 138 Jeffreyber,Shopping,Walmart
Vision Center 329 Port Marga,Health,Vision
Shell Gas 845 Port Jeffr,Transportation,Shell
Electric Co. 325 Port Melis,Utilities,Electric
Xfinity 430 East Valer,Utilities,Xfinity
Hulu 888 South Debo,Entertainment,Hulu
Spotify 871 Mortonmout,Entertainment,Spotify
CashApp 697 North Coll,Miscellaneous,Cashapp
Health Clinic 923 Port Erik,Health,Health
Health Clinic 643 West Cynth,Health,Health
Starbucks 878 East Tammy,Food & Drink,Starbucks
AMC Theatres 206 West Lisa,Entertainment,Amc
United Airlines 764 Billyhaven,Travel,United
Hilton 348 New Carrie,Travel,Hilton
CashApp 847 Scottland,Miscellaneous,Cashapp
Starbucks 737 East Gabri,Food & Drink,Starbucks
Spotify 886 Archerfort,Entertainment,Spotify
Best Buy 354 Port Angel,Shopping,Best
Shell Gas 303 Abbottboro,Transportation,Shell
Starbucks 264 North Just,Food & Drink,Starbucks
Disney+ 308 Dominiqueb,Entertainment,Disney+
Xbox Live 279 South Kimb,Entertainment,Xbox
Walgreens 814 North Mich,Health,Walgreens
Disney+ 378 East Rhond,Entertainment,Disney+
AT&T 778 West Sandr,Utilities,At&t
Reversal 303 Jenniferha,Miscellaneous,Reversal
Xfinity 416 Barnesvill,Utilities,Xfinity
Xfinity 114 Kaitlinpor,Utilities,Xfinity
Etsy 875 South Mari,Shopping,Etsy
TripAdvisor 702 Harrington,Travel,Tripadvisor
Uber 753 North Patr,Transportation,Uber
Netflix 511 Russellmou,Entertainment,Netflix
Marriott 528 Jamesshire,Travel,Marriott
AT&T 980 South Mary,Utilities,At&t
CVS Pharmacy 690 Lake Alici,Health,Cvs
Vision Center 580 Hugheston,Health,Vision
AT&T 845 Williamssh,Utilities,At&t
McDonald's 981 Brownberg,Food & Drink,Mcdonald's
Marriott 932 East Maryb,Travel,Marriott
AT&T 825 North Rich,Utilities,At&t
Uber Airport 627 Port Dusti,Travel,Uber
Netflix 308 West Sarah,Entertainment,Netflix
Xbox Live 158 Lake Cryst,Entertainment,Xbox
Amazon 154 Perrychest,Shopping,Amazon
Dunkin 377 Jasonborou,Food & Drink,Dunkin
Dental Office 362 Robertsonf,Health,Dental
Walgreens 453 North Chri,Health,Walgreens
Dunkin 400 West Katie,Food & Drink,Dunkin
AT&T 419 Tracybury,Utilities,At&t
Shell Gas 808 Lake Brian,Transportation,Shell
Twitch 460 South Kell,Entertainment,Twitch
Walmart 820 Lake Rober,Shopping,Walmart
Unknown Charge 510 West Chris,Miscellaneous,Unknown
Chipotle 939 North Barr,Food & Drink,Chipotle
Marriott 869 Markville,Travel,Marriott
Hilton 986 Lake Grego,Travel,Hilton
Health Clinic 475 Bradleyche,Health,Health
Amazon 888 Michaelpor,Shopping,Amazon
CVS Pharmacy 409 East Lisab,Health,Cvs
Uber 313 Port David,Transportation,Uber
Health Clinic 238 Victoriaha,Health,Health
Amazon 738 South Joan,Shopping,Amazon
TripAdvisor 545 South Jo,Travel,Tripadvisor
Shell Gas 675 North Gwen,Transportation,Shell
Pizza Hut 758 East Annla,Food & Drink,Pizza
Marriott 835 Lake Amand,Travel,Marriott
Costco 778 Sarahville,Shopping,Costco
PlayStation Store 237 Lake David,Entertainment,Playstation
Etsy 435 Nicolefort,Shopping,Etsy
Delta Airlines 256 Sharpview,Travel,Delta
Disney+ 637 Michaelsid,Entertainment,Disney+
Amazon 193 Wesleyport,Shopping,Amazon
GNC 180 Henryside,Health,Gnc
Target 141 Port Sheen,Shopping,Target
Donation 677 West Jonat,Miscellaneous,Donation
PlayStation Store 960 North Oliv,Entertainment,Playstation
CVS Pharmacy 936 Hernandezv,Health,Cvs
GNC 623 Douglasbor,Health,Gnc
Amtrak 795 Lake Micha,Transportation,Amtrak
PlayStation Store 266 South Ashl,Entertainment,Playstation
United Airlines 270 Daniellebe,Travel,United
Donation 403 Greenside,Miscellaneous,Donation
National Grid 321 East David,Utilities,National
Marriott 241 East Brent,Travel,Marriott
Etsy 990 West Kimbe,Shopping,Etsy
PlayStation Store 520 Phillipsbu,Entertainment,Playstation
Comcast 973 Lake Ianch,Utilities,Comcast
Etsy 348 South Cody,Shopping,Etsy
BP 212 Port Kevin,Transportation,Bp
Donation 593 Lake Anaha,Miscellaneous,Donation
ACH Transfer 963 New Anthon,Miscellaneous,Ach
GNC 963 New Richar,Health,Gnc
Bank Fee 718 Kevinfurt,Miscellaneous,Bank
Interest Credit 689 Bishopshir,Miscellaneous,Interest
PlayStation Store 157 Lake Stacy,Entertainment,Playstation
United Airlines 240 New Zachar,Travel,United
Best Buy 314 Katelynvie,Shopping,Best
Hulu 924 South Cath,Entertainment,Hulu
ACH Transfer 208 Savannahbu,Miscellaneous,Ach
IKEA 700 East Lisa,Shopping,Ikea
Delta Airlines 250 Joshuafurt,Travel,Delta
Lyft 913 New Alison,Transportation,Lyft
ACH Transfer 270 Scottmouth,Miscellaneous,Ach
Walgreens 793 East Rober,Health,Walgreens
Airbnb 828 New Cheyen,Travel,Airbnb
Netflix 901 Aaronville,Entertainment,Netflix
Chipotle 439 West Bryan,Food & Drink,Chipotle
Health Clinic 883 Hectorberg,Health,Health
Interest Credit 351 Sanchezpor,Miscellaneous,Interest
Reversal 759 South Laur,Miscellaneous,Reversal
Health Clinic 810 North Emil,Health,Health
Marriott 177 Brianshire,Travel,Marriott
Health Clinic 950 North Lisa,Health,Health
Target 228 Reedmouth,Shopping,Target
Rite Aid 102 East Jonat,Health,Rite
CashApp 360 West Patri,Miscellaneous,Cashapp
Airbnb 132 Riversview,Travel,Airbnb
Hulu 286 South Kris,Entertainment,Hulu
Expedia 117 North Kimb,Travel,Expedia
Walgreens 627 East Steve,Health,Walgreens
Lyft 616 Anthonylan,Transportation,Lyft
TripAdvisor 297 Port James,Travel,Tripadvisor
Chevron 242 East James,Transportation,Chevron
Starbucks 637 Cynthiatow,Food & Drink,Starbucks
AT&T 411 Brittanybo,Utilities,At&t
Bank Fee 632 Elizabethv,Miscellaneous,Bank
MetroCard NYC 480 Sanchezvie,Transportation,Metrocard
Hulu 154 Lake Sheil,Entertainment,Hulu
Costco 229 Stephanieb,Shopping,Costco
AT&T 924 Rebeccabur,Utilities,At&t
Donation 115 Jasminetow,Miscellaneous,Donation
Twitch 111 North John,Entertainment,Twitch
PG&E 107 Lake Beth,Utilities,Pg&e
Comcast 502 Valeriesta,Utilities,Comcast
Lyft 973 Susanstad,Transportation,Lyft
Amtrak 536 Guerraburg,Transportation,Amtrak
United Airlines 109 Cassidybur,Travel,United
Domino's 220 Millshaven,Food & Drink,Domino's
Xbox Live 519 Fryebury,Entertainment,Xbox
Etsy 597 Nicholasfu,Shopping,Etsy
Donation 351 East Jason,Miscellaneous,Donation
TripAdvisor 584 South Alis,Travel,Tripadvisor
Health Clinic 721 Howellview,Health,Health
IKEA 222 Bensonvill,Shopping,Ikea
Comcast 975 Reyesfort,Utilities,Comcast
ExxonMobil 683 Parkerboro,Transportation,Exxonmobil
Airbnb 866 Jorgehaven,Travel,Airbnb
Best Buy 556 Fernandezl,Shopping,Best
Bank Fee 380 Bobbychest,Miscellaneous,Bank
Comcast 698 Stephaniem,Utilities,Comcast
IKEA 601 South Broo,Shopping,Ikea
Lyft 341 Ashleyberg,Transportation,Lyft
Uber 259 Davidfurt,Transportation,Uber
Interest Credit 822 Port Micha,Miscellaneous,Interest
Marriott 600 North Shan,Travel,Marriott
Amtrak 789 Aaronmouth,Transportation,Amtrak
Lyft 793 Matthewvie,Transportation,Lyft
ACH Transfer 914 Lake John,Miscellaneous,Ach
Interest Credit 366 Franklinfu,Miscellaneous,Interest
Target 568 Lake Katie,Shopping,Target
Panda Express 489 Warrenport,Food & Drink,Panda
United Airlines 290 Port Kenne,Travel,United
Donation 270 East Rober,Miscellaneous,Donation
Best Buy 963 Port Danie,Shopping,Best
Bank Fee 710 East Loris,Miscellaneous,Bank
Marriott 324 Brucetown,Travel,Marriott
CVS Pharmacy 723 North Jess,Health,Cvs
Health Clinic 449 Nicolehave,Health,Health
Comcast 841 Noahton,Utilities,Comcast
Walgreens 160 Brianton,Health,Walgreens
Target 890 Port Steve,Shopping,Target
ACH Transfer 334 Levineburg,Miscellaneous,Ach
ACH Transfer 906 Jonathanla,Miscellaneous,Ach
Expedia 862 Dorseyport,Travel,Expedia
Disney+ 874 East Micha,Entertainment,Disney+
AMC Theatres 600 Fergusonbu,Entertainment,Amc
GNC 310 New Sarah,Health,Gnc
Twitch 742 West James,Entertainment,Twitch
Hilton 712 East Cathe,Travel,Hilton
IKEA 900 Michaelmou,Shopping,Ikea
Reversal 564 Kingview,Miscellaneous,Reversal
Bank Fee 567 Bestberg,Miscellaneous,Bank
Target 278 Johnton,Shopping,Target
Xbox Live 148 Lake Kevin,Entertainment,Xbox
Marriott 656 Joshuafort,Travel,Marriott
Dunkin 407 Port Dana,Food & Drink,Dunkin
Dunkin 371 East Corey,Food & Drink,Dunkin
National Grid 704 Lake Nicol,Utilities,National
Amazon 932 Watkinsfor,Shopping,Amazon
Disney+ 531 Steveville,Entertainment,Disney+
Best Buy 803 South Jose,Shopping,Best
Shell Gas 718 Mercadovie,Transportation,Shell
Dunkin 785 New Robert,Food & Drink,Dunkin
Shell Gas 557 Port Jenni,Transportation,Shell
Walmart 682 East Erica,Shopping,Walmart
Dunkin 414 Matthewtow,Food & Drink,Dunkin
Starbucks 745 Espinozash,Food & Drink,Starbucks
Disney+ 247 Port Patri,Entertainment,Disney+
IKEA 349 Port Rober,Shopping,Ikea
Airbnb 701 Angelview,Travel,Airbnb
Macy's 387 Brianabury,Shopping,Macy's
Reversal 577 Coreyborou,Miscellaneous,Reversal
Electric Co. 152 Timothybur,Utilities,Electric
PlayStation Store 667 Amyborough,Entertainment,Playstation
Panda Express 625 Port Danie,Food & Drink,Panda
PlayStation Store 106 Lake Chris,Entertainment,Playstation
Hilton 380 West Josep,Travel,Hilton
Verizon 785 Katieberg,Utilities,Verizon
Walmart 806 Samanthavi,Shopping,Walmart
Amazon 606 Margaretvi,Shopping,Amazon
MetroCard NYC 735 West Ronni,Transportation,Metrocard
Hulu 608 Josephtown,Entertainment,Hulu
Walmart 392 Williamber,Shopping,Walmart
United Airlines 209 Port Laura,Travel,United
BP 673 East Vince,Transportation,Bp
National Grid 815 Christinef,Utilities,National
Electric Co. 217 Port Devin,Utilities,Electric
Best Buy 654 Matthewbor,Shopping,Best
Check Deposit 426 Garciashir,Miscellaneous,Check
Chevron 981 Amyside,Transportation,Chevron
Target 474 Beckerfort,Shopping,Target
Domino's 362 Lewisfurt,Food & Drink,Domino's
Etsy 656 Mooretown,Shopping,Etsy
Bank Fee 791 Port Matth,Miscellaneous,Bank
Amtrak 657 Shirleyfor,Transportation,Amtrak
Interest Credit 403 Powellboro,Miscellaneous,Interest
Dunkin 609 New Katiev,Food & Drink,Dunkin
Walmart 362 Port Krist,Shopping,Walmart
MetroCard NYC 130 Campbellch,Transportation,Metrocard
Marriott 213 New Mark,Travel,Marriott
Donation 342 Mirandafor,Miscellaneous,Donation
Target 259 Richardton,Shopping,Target
Uber 993 North Kimb,Transportation,Uber
Dental Office 738 Timothyshi,Health,Dental
United Airlines 623 Robinsonbu,Travel,United
United Airlines 654 East Chris,Travel,United
McDonald's 476 Lake Lisa,Food & Drink,Mcdonald's
ACH Transfer 500 Andrewches,Miscellaneous,Ach
Costco 989 Donnaborou,Shopping,Costco
Expedia 138 Thomasburg,Travel,Expedia
Check Deposit 301 North Eliz,Miscellaneous,Check
PlayStation Store 244 Allenchest,Entertainment,Playstation
United Airlines 460 Julieberg,Travel,United
Twitch 506 Herrerabur,Entertainment,Twitch
Expedia 300 Port Susan,Travel,Expedia
Uber Airport 908 New Amymou,Travel,Uber
CashApp 932 Martinches,Miscellaneous,Cashapp
Best Buy 400 South Ambe,Shopping,Best
TripAdvisor 926 South Jaso,Travel,Tripadvisor
Reversal 112 Williammou,Miscellaneous,Reversal
Lyft 332 Carmenfurt,Transportation,Lyft
Chevron 669 Martinches,Transportation,Chevron
Vision Center 853 Karenville,Health,Vision
National Grid 669 South Kris,Utilities,National
ACH Transfer 488 North Rich,Miscellaneous,Ach
Hulu 434 Jamesbury,Entertainment,Hulu
Chipotle 739 Martinezbo,Food & Drink,Chipotle
Uber 339 Daniellemo,Transportation,Uber
AT&T 515 North Mich,Utilities,At&t
Netflix 342 North Pete,Entertainment,Netflix
Marriott 708 Robinsonbu,Travel,Marriott
Amtrak 597 Nashville,Transportation,Amtrak
Chipotle 250 Lake Ianvi,Food & Drink,Chipotle
Dunkin 191 East Kenne,Food & Drink,Dunkin
Disney+ 119 Deantown,Entertainment,Disney+
IKEA 642 Garyville,Shopping,Ikea
United Airlines 197 South Virg,Travel,United
Etsy 753 Rodriguezs,Shopping,Etsy
Target 564 Rosshaven,Shopping,Target
Airbnb 790 North Laur,Travel,Airbnb
Electric Co. 979 Port Tiffa,Utilities,Electric
Electric Co. 942 South Mich,Utilities,Electric
Check Deposit 969 New James,Miscellaneous,Check
United Airlines 927 Merrittshi,Travel,United
United Airlines 730 Martinezpo,Travel,United
PG&E 362 North Andr,Utilities,Pg&e
Chevron 984 East Danie,Transportation,Chevron
Expedia 708 North Jord,Travel,Expedia
Health Clinic 602 West Jeffr,Health,Health
BP 858 New Jim,Transportation,Bp
United Airlines 893 South Derr,Travel,United
Macy's 144 Fishervill,Shopping,Macy's
Vision Center 621 Haynesbury,Health,Vision
Uber 701 New Annamo,Transportation,Uber
Amazon 415 South Nich,Shopping,Amazon
Pizza Hut 134 East Tony,Food & Drink,Pizza
PG&E 537 Brandonche,Utilities,Pg&e
Check Deposit 690 Anthonymou,Miscellaneous,Check
Urgent Care 571 Riddlefurt,Health,Urgent
Netflix 684 North Kris,Entertainment,Netflix
Rite Aid 511 South Kath,Health,Rite
Etsy 801 Lake Kelse,Shopping,Etsy
Panda Express 395 New Jennif,Food & Drink,Panda
Rite Aid 395 Michellepo,Health,Rite
Netflix 147 North Kevi,Entertainment,Netflix
Uber Airport 877 Amandabury,Travel,Uber
Macy's 747 Philipmout,Shopping,Macy's
Expedia 695 Deanview,Travel,Expedia
Netflix 830 North Patr,Entertainment,Netflix
Marriott 890 West Ronal,Travel,Marriott
Etsy 747 New Patric,Shopping,Etsy
Health Clinic 807 West Jenni,Health,Health
Walgreens 105 West Drew,Health,Walgreens
Lyft 292 Hunthaven,Transportation,Lyft
BP 496 New Brenda,Transportation,Bp
Marriott 986 New Joseph,Travel,Marriott
T-Mobile 641 South Rand,Utilities,T-mobile
Amtrak 722 Port Jillp,Transportation,Amtrak
PlayStation Store 448 West Angel,Entertainment,Playstation
Etsy 284 Port Samue,Shopping,Etsy
Uber Airport 651 Port Hanna,Travel,Uber
Xfinity 243 Jessicashi,Utilities,Xfinity
Urgent Care 246 South Wend,Health,Urgent
Comcast 394 Lake Paulv,Utilities,Comcast
CVS Pharmacy 160 South Jose,Health,Cvs
Etsy 922 Velasquezb,Shopping,Etsy
AT&T 763 Pamelaview,Utilities,At&t
McDonald's 426 Gloriaburg,Food & Drink,Mcdonald's
Walgreens 401 Bushmouth,Health,Walgreens
Delta Airlines 530 North Mich,Travel,Delta
Walmart 574 Adamsfort,Shopping,Walmart
Spotify 854 South Lori,Entertainment,Spotify
Xfinity 896 Port Gina,Utilities,Xfinity
KFC 847 North John,Food & Drink,Kfc
Airbnb 639 South Terr,Travel,Airbnb
Dental Office 847 Pittmanvie,Health,Dental
Chevron 888 New Rodney,Transportation,Chevron
Walgreens 408 Karlafurt,Health,Walgreens
Hilton 207 Lake Kathl,Travel,Hilton
PlayStation Store 980 New Ebony,Entertainment,Playstation
MetroCard NYC 237 Wilsonfurt,Transportation,Metrocard
AT&T 313 Stephenmou,Utilities,At&t
IKEA 545 Kennethshi,Shopping,Ikea
Marriott 317 Vegacheste,Travel,Marriott
Hulu 833 East Joshu,Entertainment,Hulu
Spotify 295 Cainfort,Entertainment,Spotify
Uber Airport 685 Gatestown,Travel,Uber
ACH Transfer 913 Port Shirl,Miscellaneous,Ach
Spotify 444 North Tany,Entertainment,Spotify
Disney+ 591 South Jame,Entertainment,Disney+
Starbucks 284 Delgadoche,Food & Drink,Starbucks
Unknown Charge 922 Grantmouth,Miscellaneous,Unknown
Twitch 504 Molinahave,Entertainment,Twitch
PG&E 617 Patriciabe,Utilities,Pg&e
TripAdvisor 909 North Step,Travel,Tripadvisor
